,Name,Max Eproj,Projected_Efields V/Angstrom,Bonded Atoms,Bonded Indices,Bond Lengths
0,/home/manets12/DavidMimichrome/ABAJOD,0.1422378695852834,"[-0.1216106013117222, -0.11799576420377701, -0.1422378695852834, -0.13224683627804218]","['N', 'N', 'N', 'N']","[281, 282, 283, 284]","[1.9367230256544161, 1.932464525211264, 1.8917476810082265, 1.9028011484650718]"
1,/home/manets12/DavidMimichrome/CAXFOX,0.3117996245643313,"[-0.3117996245643313, 0.027965654819677752, -0.1637382920328953, -0.17144938781986588]","['O', 'N', 'N', 'N']","[281, 282, 284, 285]","[2.0161256723974317, 1.9940098667258392, 2.107825733522579, 2.1087203658617186]"
