,Bond Lengths,Bonded Atoms,Bonded Indices,Max Eproj,Name,Projected_Efields V/Angstrom
0,"[1.3873110447552814, 1.4107940116473399, 1.0795831407075611]","['C', 'C', 'H']",6,0.3373270641028502,/home/manets12/DavidMimichrome/ABAJOD,"[0.04957632915753523, 0.007684147409510539, 0.3373270641028502]"
1,"[1.4190724307095872, 1.4381158195708703, 1.4334558983449737]","['C', 'C', 'C']",9,0.11882292001346044,/home/manets12/DavidMimichrome/CAXFOX,"[-0.11882292001346044, 0.04182276013239963, -0.06310583297765762]"
